Time,Open,High,Low,Close,Volume,SMA_20,SMA_80,EMA_20,EMA_80,MACD,MACD_Signal,Ichi_Tenkan,Ichi_Kijun,Ichi_SenkouA,Ichi_SenkouB,Ichi_Lagging,SAR,Supertrend_Upper,Supertrend_Lower,ADX_Pos,ADX_Neg,ADX_Main,RSI_14,RSI_28,Stoch_K,Stoch_D,CCI,Williams,CMO,Bollinger_Middle,Bollinger_Upper,Bollinger_Lower,ATR,Keltner_Upper,Keltner_Middle,Keltner_Lower,Donchian_Upper,Donchian_Lower,Donchian_Middle,OBV,MFI,VWAP,FIB_236,FIB_382,FIB_500,FIB_618,Puntuacion
2021-02-02 10:45:00,35147.57,35189.26,35033.0,35160.24,787.929398,-0.014787214194214585,-0.03484459292655561,-0.012056643415787098,-0.03013746354353358,0.01021778051009115,0.00902305722002138,-0.006554136149241294,-0.012547980332329787,-0.04023166508533504,-0.0430291431457806,0.037989384593992585,-0.015625108026534888,0.022100318089011993,-0.024893814379139324,33.1960119932722,18.38037641855012,29.009806566867276,72.60222760202218,74.83769840290275,68.0209054845412,69.51829229897363,40.08889549154691,-31.97909451545879,45.20445520404435,-0.014787214194214585,0.014920307764163553,-0.04449473615259272,0.008240321967561295,0.008536788255896592,-0.012056643415787098,-0.03265007508747079,0.014444156240116695,-0.035139407467070616,-0.01034762561347696,0.27511761038836213,61.552234188440345,-0.03480512848126467,-0.00818873363776817,-0.022190436697815365,-0.0335068816367579,-0.04482332657570023,0.0
2021-02-02 11:00:00,35160.24,35284.49,35109.58,35240.45,933.743183,-0.01523699328470552,-0.03641224785722093,-0.012942871649693653,-0.03154630532802927,0.01006482364693354,0.009214980762432472,-0.00211305474249042,-0.014795497787343641,-0.0419909507398458,-0.04520728310790583,0.04114232298812287,-0.016065572242822145,0.020073221711541835,-0.022537151655682368,32.27281832894058,18.6688154568843,29.955342820410788,71.92630034850345,75.03482352508958,73.07159498772106,69.4385324181936,42.23201322956864,-26.92840501227894,43.852600697006885,-0.01523699328470552,0.013942715991724175,-0.04441670256113522,0.007787134906501758,0.007258289232190484,-0.012942871649693653,-0.03314403253157779,0.012135202586800155,-0.03733550508009954,-0.012600151246649696,0.33321808442467515,61.875887136412366,-0.03672973379159368,-0.01044617307667754,-0.02441600717357454,-0.03570669500531349,-0.04699738283705224,0.0
2021-02-02 11:15:00,35240.46,35266.66,34866.0,34892.97,1002.340996,-0.00412792318911246,-0.0263323493242335,-0.0028168039952180942,-0.021361214534850004,0.00915217707555242,0.009275833586936233,0.010720784157955077,-0.004984385106799399,-0.032450662697959015,-0.0356990247605751,0.03000911845041244,-0.004558210883851111,0.029718257704872315,-0.019781585647434922,30.549252472051673,16.30861601331205,31.1043456526131,63.8936958695932,65.2378731900952,51.19136074554511,64.0946204059358,6.3412145738327155,-48.80863925445489,27.787391739186415,-0.00412792318911246,0.023766159966969243,-0.032022006345194164,0.008347063984723943,0.017061182888672814,-0.0028168039952180942,-0.022694790879109004,0.02221450337990711,-0.027748856001652996,-0.0027671763108729434,0.26817567028721984,60.5978907259867,-0.026893064844306508,-0.0005917478506416934,-0.01470069988309963,-0.026103825498374134,-0.037506951113648435,0.0
2021-02-02 11:30:00,34892.96,35042.51,34818.0,34920.0,1048.400873,-0.0038366552119130123,-0.026604757302405472,-0.0032468997009756384,-0.02157259316402889,0.008309673121608808,0.009076857489704543,0.006810996563573783,-0.005754581901489034,-0.03319959908361975,-0.03468914662084768,0.031785310650996844,-0.003723618118168761,0.023663694327356363,-0.023076351830219784,27.830352276668506,16.489124510726807,31.39408539888736,61.20143769398159,66.01642679796943,52.89339462250493,59.052116785257034,-11.505390306211275,-47.10660537749507,22.402875387963178,-0.0038366552119130123,0.023013717306172448,-0.03068702772999847,0.008085758097922285,0.013288094571647554,-0.0032468997009756384,-0.019781893973598832,0.021423253150057234,-0.024273768613974782,-0.0014252577319588797,0.2677863125400222,55.21892649366099,-0.027414894671995746,-0.0013653447880871685,-0.015463375715922044,-0.026857674684994347,-0.03825197365406644,0.0
2021-02-02 11:45:00,34919.99,34947.0,34601.0,34720.15,1399.850932,0.0025095225683069117,-0.020440245073825945,0.002253250341038564,-0.015547143430317552,0.007144793046303965,0.00873224188517942,0.00857427171253572,0.0005118065446144904,-0.027634673237298894,-0.0291327946451845,0.026327613473447774,0.027302589418536412,0.026653424724071232,-0.02355147959998631,27.104352733597263,15.72875296605619,31.883140811394778,59.80842895180658,61.99123445280698,40.30917448523405,48.13130995109469,-41.16526639051329,-59.69082551476595,19.616857903613163,0.0025095225683069117,0.028707628455796344,-0.02368858331918252,0.008376712554780246,0.017875072251370167,0.002253250341038564,-0.013368571569293039,0.027302589418536412,-0.018437420345246244,0.004432584536645189,0.1662297861879564,53.16835167772541,-0.02156586623354224,0.004382819774683998,-0.0097963597507499,-0.021256244572676213,-0.03271612939460232,0.0
2021-02-02 12:00:00,34722.97,34918.03,34524.2,34868.7,1179.077123,-0.0007914978189608462,-0.024064132015245532,-0.0018245581598289023,-0.019253739789977863,0.006427047776590963,0.008241441712289053,0.003176201005486296,-0.0026621296463589725,-0.0317772099332639,-0.031489702799358664,0.027143280488616608,0.022313937714913506,0.02298503180001256,-0.03145021690872032,26.234391784733013,15.223911511648744,32.348919520765385,63.491361137432875,64.09244102070289,45.86248230744739,46.35501713839545,-43.38587462613864,-54.13751769255261,26.98272227486575,-0.0007914978189608462,0.023941225791701378,-0.025524221429623073,0.008734843022185319,0.01405277595357375,-0.0018245581598289023,-0.017701892273231556,0.022926005271203156,-0.022619139801598485,0.00015343273480243947,0.24840013549571335,57.86273138752214,-0.025524375432690673,0.00010387998405443809,-0.014014892439350904,-0.025425955082925368,-0.036837017726499624,0.0
2021-02-02 12:15:00,34868.68,35000.0,34822.89,34908.31,664.381353,-0.0008659685902869913,-0.024627248497564057,-0.002675539013141794,-0.019863701155571234,0.005899234804075721,0.007765519166276671,0.0008247319907495056,-0.003205397224901372,-0.03189677472212187,-0.03258865868900551,0.026931561744050023,0.019867638393265184,0.02428504512947849,-0.02410543173656419,20.04681676378572,22.744312782842112,29.95895128432152,56.13055647515566,64.73941212314969,33.578984176938555,39.91688032320666,-28.084209643494408,-66.42101582306145,12.261112950311318,-0.0008659685902869913,0.022118216898324543,-0.023850154078898525,0.00823808442085328,0.012974660036883835,-0.002675539013141794,-0.018325738063167424,0.02176530459366268,-0.023728161002351523,-0.000981428204344317,0.305612463111535,54.07390334256293,-0.026493046601489826,-0.0007608400406665201,-0.014696505789022775,-0.025959578106187375,-0.037222650423351766,0.0
2021-02-02 12:30:00,34908.32,34946.3,34805.0,34893.21,510.434158,0.00041393440156412155,-0.023704930701417114,-0.002030238575777856,-0.018959559356626444,0.0053920180477678315,0.007293507358789078,0.0012578378429499442,-0.002774035406888568,-0.031477829067603574,-0.031625493899816025,0.026966198879358784,0.019073609243746945,0.020688155741700805,-0.021694655287027683,3.5054812749507795,26.573474431277923,30.839026752956165,34.584022646226046,63.297206876678025,32.25893871841958,37.23346840093517,-32.94952986690006,-67.74106128158041,-30.831954707547908,0.00041393440156412155,0.022054438367038402,-0.02122656956391016,0.007682695978197715,0.012896505051420794,-0.002030238575777856,-0.016956982202976506,0.02220747245667565,-0.02330568038882061,-0.0005491039660723739,0.2569627132321044,39.89924624058201,-0.02597062787827512,0.00035252818528314013,-0.013167903440239458,-0.02409537557593582,-0.03502284771163218,0.0
2021-02-02 12:45:00,34893.21,34929.0,34695.0,34779.91,530.062353,0.004472984547688376,-0.020050443632545534,0.0011045110887568158,-0.015374467760239183,0.0046873745801335924,0.006791288428638399,0.00357778384130372,0.00047455556958017945,-0.02762492772407988,-0.02847089023519623,0.02341682627557417,0.021203547527523653,0.021914005013408615,-0.020068686839785018,3.780547810398433,15.450494778852747,33.03124137270082,33.339948965126155,60.85723429378598,26.267617208366435,30.701846701241525,-45.36429796810883,-73.73238279163357,-33.32010206974772,0.004472984547688376,0.0242219467452153,-0.015275977649838549,0.007577096497631933,0.01520776782518891,0.0011045110887568158,-0.012998745647675279,0.025537443886427393,-0.020123973868822646,0.0027067350088024783,0.26099855494757446,26.756301336487766,-0.022702449307159492,0.0038796719140444065,-0.009518780238361873,-0.020347666224553262,-0.03117655221074486,0.0
2021-02-02 13:00:00,34779.9,34949.07,34745.13,34943.56,551.59579,0.0005213263903276287,-0.024121368858811196,-0.0032426015402601377,-0.0194922565695751,0.00442266600443647,0.006292119613538666,-0.0011222382607838615,-0.0020985268816343197,-0.029363350500063466,-0.03246835754571079,0.022392922274162355,0.015284097433131612,0.017286528378317276,-0.02280743122851337,3.924005379547374,17.0916963165986,35.24254957406822,38.41176701724949,62.81093604207309,46.05820977484905,34.86158856721169,-29.21364100410596,-53.94179022515095,-23.17646596550102,0.0005213263903276287,0.01889973248359758,-0.017857079702942324,0.007314231950487025,0.010794434182488228,-0.0032426015402601377,-0.0172796372630085,0.02073457884657433,-0.024712994325706877,-0.001989207739566168,0.24480456323284586,32.511505660279525,-0.02717225802480706,-0.00036933042883996936,-0.013425138709393077,-0.02397709334710033,-0.034529047984807375,0.0
